               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.023285,           0.0084039,             0.01302,             0.96205,             0.92296,             0.95597,             0.79511,            0.017556,           0.0032559,           0.0055116,           0.0057925,           0.0057925,           0.0057925
                  36,             0.02312,           0.0083097,            0.012529,             0.97244,             0.93142,             0.95639,             0.78484,            0.018223,           0.0031482,           0.0041355,           0.0056688,           0.0056688,           0.0056688
                  37,            0.022913,           0.0081026,            0.012201,             0.97355,             0.92809,             0.95221,             0.79655,            0.017139,           0.0031035,           0.0040774,            0.005545,            0.005545,            0.005545
                  38,            0.022857,           0.0081694,            0.011967,             0.98098,             0.91248,             0.95375,             0.80545,            0.016727,           0.0031107,           0.0043699,           0.0054212,           0.0054212,           0.0054212
                  39,            0.022845,           0.0080605,            0.011576,             0.95868,             0.92156,             0.95354,             0.80322,            0.017203,           0.0030635,           0.0047806,           0.0052975,           0.0052975,           0.0052975
                  40,            0.022482,           0.0079089,            0.011144,             0.96825,              0.9323,             0.95622,             0.80867,            0.016533,           0.0030129,           0.0037341,           0.0051737,           0.0051737,           0.0051737
                  41,            0.022075,           0.0080368,            0.011452,             0.97071,             0.91032,             0.94956,             0.79101,            0.017218,           0.0031139,           0.0052566,             0.00505,             0.00505,             0.00505
                  42,            0.022234,           0.0079425,            0.010726,             0.95848,              0.9306,             0.95764,             0.80424,            0.017086,           0.0030382,            0.002943,           0.0049263,           0.0049263,           0.0049263
                  43,            0.021859,           0.0079019,            0.010586,             0.96904,              0.9367,             0.96089,             0.81013,            0.016274,           0.0030194,           0.0027114,           0.0048025,           0.0048025,           0.0048025
                  44,            0.021841,           0.0078286,           0.0099517,             0.97109,             0.92878,             0.95394,             0.80448,            0.016355,           0.0031065,             0.00236,           0.0046788,           0.0046788,           0.0046788
                  45,            0.021543,            0.007794,           0.0097478,             0.96882,             0.93426,             0.96032,             0.81088,            0.016379,           0.0029734,           0.0023532,            0.004555,            0.004555,            0.004555
                  46,            0.021307,           0.0076581,           0.0096855,             0.96683,             0.92421,             0.95568,             0.81402,            0.015903,           0.0030162,           0.0040136,           0.0044313,           0.0044313,           0.0044313
                  47,            0.021285,           0.0077087,           0.0094246,             0.96695,             0.92313,             0.95777,             0.81015,            0.015736,           0.0029663,           0.0031464,           0.0043075,           0.0043075,           0.0043075
                  48,            0.020997,            0.007658,           0.0092137,              0.9726,             0.92264,             0.96167,             0.82249,              0.0158,           0.0029746,           0.0026761,           0.0041837,           0.0041837,           0.0041837
                  49,            0.020756,           0.0076479,           0.0092382,             0.97735,             0.92168,             0.96283,             0.81211,            0.016029,           0.0029584,           0.0043139,             0.00406,             0.00406,             0.00406
                  50,             0.02049,           0.0075443,           0.0092136,             0.97907,              0.9329,             0.96401,             0.82152,            0.015345,           0.0029013,           0.0020144,           0.0039362,           0.0039362,           0.0039362
                  51,            0.020412,           0.0075192,           0.0086712,             0.96797,             0.93599,             0.96266,             0.82532,             0.01541,           0.0029454,            0.003246,           0.0038125,           0.0038125,           0.0038125
                  52,            0.020282,           0.0075514,           0.0090381,             0.96341,             0.93492,             0.96138,             0.81891,            0.015451,           0.0029408,            0.003321,           0.0036888,           0.0036888,           0.0036888
                  53,            0.020234,           0.0073805,           0.0086286,             0.97547,             0.92589,             0.96778,             0.82947,            0.015352,           0.0028628,           0.0030833,            0.003565,            0.003565,            0.003565
                  54,            0.019802,           0.0073462,           0.0082534,             0.96544,             0.93793,             0.96385,             0.82203,            0.015336,           0.0029358,           0.0029636,           0.0034413,           0.0034413,           0.0034413
                  55,            0.019694,           0.0072645,           0.0082651,             0.96314,             0.93716,             0.96353,             0.82742,            0.015381,           0.0028643,           0.0023573,           0.0033175,           0.0033175,           0.0033175
                  56,            0.019626,           0.0074481,           0.0082641,             0.97619,             0.93968,             0.96801,             0.82888,             0.01515,           0.0028542,           0.0019137,           0.0031938,           0.0031938,           0.0031938
                  57,            0.019558,           0.0072727,           0.0080553,             0.96731,             0.94267,              0.9677,             0.82332,            0.015079,           0.0028548,           0.0021729,             0.00307,             0.00307,             0.00307
                  58,            0.019079,           0.0071318,           0.0074019,             0.96746,             0.93044,             0.96422,             0.83148,            0.014864,           0.0028669,           0.0024351,           0.0029462,           0.0029462,           0.0029462
                  59,            0.019158,           0.0071556,           0.0077329,             0.97187,             0.93681,              0.9667,             0.82784,            0.014901,           0.0028546,           0.0027644,           0.0028225,           0.0028225,           0.0028225
                  60,            0.018873,           0.0072159,           0.0074211,             0.95595,             0.93741,              0.9634,             0.82885,               0.015,           0.0028407,           0.0026418,           0.0026987,           0.0026987,           0.0026987
                  61,            0.018871,           0.0072503,           0.0073785,             0.97582,             0.93151,             0.96707,             0.83284,            0.014982,            0.002795,           0.0025364,            0.002575,            0.002575,            0.002575
